original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
SUI GENERIS,sui-generis,https://www.edgeprop.sg/condo-apartment/sui-generis,https://www.edgeprop.sg/condo-apartment/sui-generis,"4,746","7,587",1.6,SUI GENERIS,Balmoral Crescent,"259916, 259918, 259920",Condominium,Freehold,D10 / Newton,2010,40 units,"S$ 2,717 psf in Apr 2008 for a 1,755-sqft unit",-13.8%,"S$ 1,831 psf in Sep 2019 for a 2,594-sqft unit","Singaporean 45.9%, PR 8.1%, Foreigner 35.1%, Company 10.8%","HDB 5.6%, Private 94.4%","S$ 2,223 - S$ 2,416 psf / S$ 2,342 psf",S$ 4.2 - S$ 6.7 psf pm / S$ 5.1 psf pm,2.6%,BALMORAL DEVELOPMENT PTE LTD,15.0,,,,sui-generis,19 BALMORAL CRESCENT SUI GENERIS SINGAPORE 259916,259916,1.31620128506477,103.83469676258,19,BALMORAL CRESCENT,SUI GENERIS,NEWTON MRT STATION,487.7635235591359,Exit C
120 GRANGE,120-grange,https://www.edgeprop.sg/condo-apartment/120-grange,https://www.edgeprop.sg/condo-apartment/120-grange,"1,466","3,079",2.1,120 GRANGE,Grange Road,249600,Apartment,Freehold,D10 / River Valley,2023,56 units,"S$ 3,386 psf in Jun 2018 for a 431-sqft unit",-18.0%,"S$ 2,669 psf in Nov 2020 for a 678-sqft unit","Singaporean 70.5%, PR 14.8%, Foreigner 14.8%, Company 0.0%","HDB 20.0%, Private 80.0%","S$ 2,770 - S$ 2,784 psf / S$ 2,777 psf",S$ 6.5 - S$ 9.1 psf pm / S$ 7.9 psf pm,3.4%,RH ORCHARD PTE LTD,2.0,,,,120-grange,120 GRANGE ROAD 120 GRANGE SINGAPORE 249600,249600,1.29997909930352,103.825522814492,120,GRANGE ROAD,120 GRANGE,ORCHARD BOULEVARD MRT STATION,330.1908192051294,Exit 2
DAHLIA PARK CONDOMINIUM,dahlia-park-condominium,https://www.edgeprop.sg/condo-apartment/dahlia-park-condominium,https://www.edgeprop.sg/condo-apartment/dahlia-park-condominium,"24,512","35,503",1.4,DAHLIA PARK CONDOMINIUM,Flora Drive,"507009, 507010, 507011, 507012, 507013",Condominium,Freehold,D17 / Pasir Ris,2003,299 units,"S$ 1,210 psf in Jun 2024 for a 1,281-sqft unit",-6.4%,"S$ 405 psf in Feb 2007 for a 1,679-sqft unit","Singaporean 85.2%, PR 12.2%, Foreigner 2.4%, Company 0.2%","HDB 61.9%, Private 38.1%","S$ 975 - S$ 1,210 psf / S$ 1,132 psf",S$ 2.1 - S$ 3.5 psf pm / S$ 3.0 psf pm,3.2%,TRIPARTITE DEVELOPERS PTE LTD,22.0,,,,dahlia-park-condominium,1 FLORA DRIVE DAHLIA PARK CONDOMINIUM SINGAPORE 507009,507009,1.35941809852708,103.965393923725,1,FLORA DRIVE,DAHLIA PARK CONDOMINIUM,TAMPINES EAST MRT STATION,1109.5783456205595,Exit D
EUPHONY GARDENS,euphony-gardens,https://www.edgeprop.sg/condo-apartment/euphony-gardens,https://www.edgeprop.sg/condo-apartment/euphony-gardens,"26,411","36,975",1.4,EUPHONY GARDENS,Jalan Mata Ayer,"759075, 759150, 759151, 759152, 759153, 759154, 759155, 759156",Condominium,99 Yrs From 25/02/1998,D27 / Mandai,2001,304 units,"S$ 998 psf in Jan 2024 for a 1,163-sqft unit",-8.2%,"S$ 207 psf in Sep 2004 for a 1,281-sqft unit","Singaporean 78.2%, PR 17.4%, Foreigner 4.2%, Company 0.2%","HDB 62.2%, Private 37.8%",S$ 824 - S$ 984 psf / S$ 916 psf,S$ 2.0 - S$ 3.7 psf pm / S$ 2.9 psf pm,3.8%,NORTHSPRING DEVELOPMENT PTE LTD,24.0,3P ARCHITECTS,SANTARLI CONSTRUCTION PTE LTD,,euphony-gardens,9 JALAN MATA AYER EUPHONY GARDENS SINGAPORE 759153,759153,1.42476609714035,103.824357857167,9,JALAN MATA AYER,EUPHONY GARDENS,KHATIB MRT STATION,1242.4436528392291,Exit C
THE BELLEFORTE,the-belleforte,https://www.edgeprop.sg/condo-apartment/the-belleforte,https://www.edgeprop.sg/condo-apartment/the-belleforte,"3,158","8,843",2.8,THE BELLEFORTE,Ah Hood Road,"329973, 329974",Apartment,Freehold,D12 / Novena,2003,74 units,"S$ 1,513 psf in Jun 2023 for a 1,432-sqft unit",0.0%,"S$ 422 psf in Jun 2006 for a 1,658-sqft unit","Singaporean 76.2%, PR 12.3%, Foreigner 11.5%, Company 0.0%","HDB 45.4%, Private 54.6%","S$ 1,513 - S$ 1,513 psf / S$ 1,513 psf",S$ 3.0 - S$ 3.9 psf pm / S$ 3.4 psf pm,2.7%,UNION COMMODITIES PTE LTD,22.0,TSP ARCHITECTS & PLANNERS,KIM SENG HENG ENGINEERING CONSTRUCTION PTE LTD,,the-belleforte,6 AH HOOD ROAD THE BELLEFORTE SINGAPORE 329974,329974,1.32723427058795,103.845140012266,6,AH HOOD ROAD,THE BELLEFORTE,TOA PAYOH MRT STATION,626.6279592412333,Exit B
COMMONWEALTH TOWERS,commonwealth-towers,https://www.edgeprop.sg/condo-apartment/commonwealth-towers,https://www.edgeprop.sg/condo-apartment/commonwealth-towers,"11,788","57,761",4.9,COMMONWEALTH TOWERS,Commonwealth Avenue,"149739, 149740",Condominium,99 Yrs From 07/05/2013,D3 / Queenstown,2017,845 units,"S$ 2,460 psf in Dec 2024 for a 904-sqft unit",-9.7%,"S$ 1,373 psf in May 2014 for a 689-sqft unit","Singaporean 73.8%, PR 18.5%, Foreigner 7.7%, Company 0.0%","HDB 50.5%, Private 49.5%","S$ 1,988 - S$ 2,460 psf / S$ 2,222 psf",S$ 5.3 - S$ 9.9 psf pm / S$ 7.3 psf pm,4.0%,WEALTHALL DEVELOPMENT PTE LTD,8.0,SAA ARCHITECTS PTE LTD,KIMLY CONSTRUCTION PTE LTD,,commonwealth-towers,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,149739,1.29573433474414,103.806030198974,230,COMMONWEALTH AVENUE,COMMONWEALTH TOWERS,QUEENSTOWN MRT STATION,58.978461214853134,Exit C
KAI FOOK MANSION,kai-fook-mansion,https://www.edgeprop.sg/condo-apartment/kai-fook-mansion,https://www.edgeprop.sg/condo-apartment/kai-fook-mansion,249,748,3.0,KAI FOOK MANSION,Kim Tian Road,"169244, 169245, 169246, 169247, 169248, 169249, 169250, 169251, 169252, 169253",Apartment,9999 YRS FR 01/01/1960,D3 / Bukit Merah,Unknown,32 units,-,-,-,-,-,,,,,,,,,kai-fook-mansion,12 KIM TIAN ROAD KAI FOOK MANSION SINGAPORE 169249,169249,1.2849778986052,103.829283016321,12,KIM TIAN ROAD,KAI FOOK MANSION,TIONG BAHRU MRT STATION,251.2591408025484,Exit B
LEWIS LODGE,lewis-lodge,https://www.edgeprop.sg/condo-apartment/lewis-lodge,https://www.edgeprop.sg/condo-apartment/lewis-lodge,"2,107",,,LEWIS LODGE,LEWIS ROAD,"258612, 258613, 258614, 258615",-,-,D10 / Tanglin,Unknown,8 units,-,-,-,-,-,,,,,,,,,lewis-lodge,41A LEWIS ROAD LEWIS LODGE SINGAPORE 258613,258613,1.31892771084136,103.822611335064,41A,LEWIS ROAD,LEWIS LODGE,STEVENS MRT STATION,271.39527449013946,Exit 3
THE NAVIAN,the-navian,https://www.edgeprop.sg/condo-apartment/the-navian,https://www.edgeprop.sg/condo-apartment/the-navian,199,279,1.4,The Navian,Jalan Eunos,"419530, 491530",Apartment,Freehold,D14 / Bedok,2019,48 units,"S$ 1,870 psf in Jan 2024 for a 667-sqft unit",-8.6%,"S$ 1,483 psf in Oct 2017 for a 667-sqft unit","Singaporean 93.4%, PR 6.6%, Foreigner 0.0%, Company 0.0%","HDB 60.0%, Private 40.0%","S$ 1,658 - S$ 1,760 psf / S$ 1,709 psf",S$ 4.8 - S$ 5.8 psf pm / S$ 5.5 psf pm,3.9%,RH EUNOS PTE LTD,6.0,,,,the-navian,178 JALAN EUNOS THE NAVIAN SINGAPORE 419530,419530,1.32780887766582,103.906399584482,178,JALAN EUNOS,THE NAVIAN,UBI MRT STATION,763.231558975236,Exit A
RHAPSODY ON MOUNT ELIZABETH,rhapsody-on-mount-elizabeth,https://www.edgeprop.sg/condo-apartment/rhapsody-on-mount-elizabeth,https://www.edgeprop.sg/condo-apartment/rhapsody-on-mount-elizabeth,"1,491","4,180",2.8,RHAPSODY ON MOUNT ELIZABETH,Mount Elizabeth,228513,Apartment,Freehold,D9 / Newton,2010,32 units,"S$ 2,394 psf in Jun 2013 for a 1,044-sqft unit",-6.3%,"S$ 1,481 psf in Dec 2006 for a 3,208-sqft unit","Singaporean 58.2%, PR 4.5%, Foreigner 32.8%, Company 4.5%","HDB 6.0%, Private 94.0%","S$ 2,242 - S$ 2,242 psf / S$ 2,242 psf",S$ 4.7 - S$ 5.8 psf pm / S$ 5.2 psf pm,2.8%,CAIRNHILL DEVELOPMENT PTE LTD,15.0,ATELIER GROUP ARCHITECTS,EVAN LIM & COMPANY PTE LTD,,rhapsody-on-mount-elizabeth,16 MOUNT ELIZABETH RHAPSODY ON MOUNT ELIZABETH SINGAPORE 228513,228513,1.30669217010578,103.836183395425,16,MOUNT ELIZABETH,RHAPSODY ON MOUNT ELIZABETH,ORCHARD MRT STATION,453.34670001272434,Exit 1
BALMORAL TOWER,balmoral-tower,https://www.edgeprop.sg/condo-apartment/balmoral-tower,https://www.edgeprop.sg/condo-apartment/balmoral-tower,"5,007","10,514",2.1,BALMORAL TOWER,Balmoral Road,"259808, 259809",Condominium,Freehold,D10 / Tanglin,1983,34 units,"S$ 1,602 psf in Oct 2019 for a 2,497-sqft unit",0.0%,"S$ 499 psf in Jun 2005 for a 5,005-sqft unit","Singaporean 72.4%, PR 3.4%, Foreigner 13.8%, Company 0.0%","HDB 3.4%, Private 96.6%","S$ 1,602 - S$ 1,602 psf / S$ 1,602 psf",S$ 2.5 - S$ 3.8 psf pm / S$ 3.2 psf pm,2.4%,,,,,,balmoral-tower,27 BALMORAL ROAD BALMORAL TOWER SINGAPORE 259808,259808,1.31665706584661,103.833640531314,27,BALMORAL ROAD,BALMORAL TOWER,NEWTON MRT STATION,613.1493835259176,Exit C
COUNTRY GRANDEUR,country-grandeur,https://www.edgeprop.sg/condo-apartment/country-grandeur,https://www.edgeprop.sg/condo-apartment/country-grandeur,"5,556","11,667",2.1,COUNTRY GRANDEUR,Lorong Puntong,576439,Condominium,Freehold,D20 / Bishan,1996,68 units,"S$ 1,886 psf in Sep 2023 for a 1,442-sqft unit",-5.7%,"S$ 465 psf in Nov 2003 for a 1,442-sqft unit","Singaporean 77.8%, PR 9.3%, Foreigner 10.2%, Company 0.9%","HDB 34.0%, Private 66.0%","S$ 1,779 - S$ 1,779 psf / S$ 1,779 psf",S$ 3.1 - S$ 3.2 psf pm / S$ 3.1 psf pm,2.1%,,,,,,country-grandeur,22 LORONG PUNTONG COUNTRY GRANDEUR SINGAPORE 576439,576439,1.36056129382805,103.831322647843,22,LORONG PUNTONG,COUNTRY GRANDEUR,BRIGHT HILL MRT STATION,215.0654245756789,Exit 3
TANQUEELAN SUITES,tanqueelan-suites,https://www.edgeprop.sg/condo-apartment/tanqueelan-suites,https://www.edgeprop.sg/condo-apartment/tanqueelan-suites,767,"3,220",4.2,TANQUEELAN SUITES,Tan Quee Lan Street,188098,Apartment,"99 Yrs From 31/05/1993, 999 Yrs From 25/01/1827",D7 / Downtown Core,2005,20 units,"S$ 1,792 psf in Nov 2022 for a 753-sqft unit",0.0%,"S$ 621 psf in Oct 2003 for a 1,722-sqft unit","Singaporean 84.2%, PR 10.5%, Foreigner 0.0%, Company 5.3%","HDB 31.6%, Private 68.4%","S$ 1,792 - S$ 1,792 psf / S$ 1,792 psf",S$ 5.3 - S$ 6.7 psf pm / S$ 5.8 psf pm,3.9%,DAWNATRON PTE LTD,20.0,,,,tanqueelan-suites,9 TAN QUEE LAN STREET TANQUEELAN SUITES SINGAPORE 188098,188098,1.29831083277688,103.856652273902,9,TAN QUEE LAN STREET,TANQUEELAN SUITES,BUGIS MRT STATION,89.41655792740903,Exit D
THE LILIUM,the-lilium,https://www.edgeprop.sg/condo-apartment/the-lilium,https://www.edgeprop.sg/condo-apartment/the-lilium,"5,104","7,147",1.4,The Lilium,How Sun Road,"538500, 538501",Condominium,Freehold,D19 / Serangoon,2021,80 units,"S$ 2,406 psf in May 2022 for a 743-sqft unit",-28.9%,"S$ 1,693 psf in Apr 2023 for a 1,970-sqft unit","Singaporean 89.2%, PR 6.8%, Foreigner 4.1%, Company 0.0%","HDB 36.4%, Private 63.6%","S$ 1,711 - S$ 1,711 psf / S$ 1,711 psf",S$ 4.8 - S$ 6.2 psf pm / S$ 5.4 psf pm,3.8%,SINGHAIYI HUAJIANG AMBER PTE LTD,4.0,,,,the-lilium,33 HOW SUN ROAD THE LILIUM SINGAPORE 538501,538501,1.34553768726804,103.881006170094,33,HOW SUN ROAD,THE LILIUM,BARTLEY MRT STATION,325.0398795513448,Exit B
RIVERIA GARDENS,riveria-gardens,https://www.edgeprop.sg/condo-apartment/riveria-gardens,https://www.edgeprop.sg/condo-apartment/riveria-gardens,"2,060","5,767",2.8,RIVERIA GARDENS,River Valley Grove,238406,Apartment,Freehold,D9 / River Valley,2010,49 units,"S$ 2,492 psf in Oct 2024 for a 1,432-sqft unit",-2.0%,"S$ 1,649 psf in May 2016 for a 1,432-sqft unit","Singaporean 68.0%, PR 2.7%, Foreigner 14.7%, Company 14.7%","HDB 8.0%, Private 92.0%","S$ 2,340 - S$ 2,492 psf / S$ 2,442 psf",S$ 4.5 - S$ 6.2 psf pm / S$ 5.5 psf pm,2.7%,I.CONTEMPORARY LIVING PTE LTD,15.0,PARK + ASSOCIATES PTE LTD,I.DELIGHT (S) PTE LTD,,riveria-gardens,8 RIVER VALLEY GROVE RIVERIA GARDENS SINGAPORE 238406,238406,1.29728166021583,103.834690606647,8,RIVER VALLEY GROVE,RIVERIA GARDENS,GREAT WORLD MRT STATION,164.25935581592609,Exit 5
KEMBANGAN SUITES,kembangan-suites,https://www.edgeprop.sg/condo-apartment/kembangan-suites,https://www.edgeprop.sg/condo-apartment/kembangan-suites,"1,227","3,682",3.0,KEMBANGAN SUITES,Jalan Masjid,418941,Apartment,Freehold,D14 / Bedok,2011,60 units,"S$ 1,739 psf in Aug 2022 for a 420-sqft unit",-1.6%,"S$ 775 psf in Apr 2009 for a 1,173-sqft unit","Singaporean 79.0%, PR 18.5%, Foreigner 1.6%, Company 0.8%","HDB 56.5%, Private 43.5%","S$ 1,703 - S$ 1,719 psf / S$ 1,711 psf",S$ 3.4 - S$ 7.1 psf pm / S$ 5.8 psf pm,4.1%,ASIMONT PROPERTIES PTE LTD,14.0,RONNY CHIN & ASSOCIATES,ADMIN CONSTRUCTION PTE LTD,,kembangan-suites,16 JALAN MASJID KEMBANGAN SUITES SINGAPORE 418941,418941,1.32015257058639,103.912727083961,16,JALAN MASJID,KEMBANGAN SUITES,KEMBANGAN MRT STATION,88.9909105383847,Exit A
LE ARC,le-arc,https://www.edgeprop.sg/condo-apartment/le-arc,https://www.edgeprop.sg/condo-apartment/le-arc,730,"2,045",2.8,LE ARC,Lorong 26 Geylang,398481,Apartment,Freehold,D14 / Geylang,1990,12 units,"S$ 1,005 psf in Oct 2022 for a 1,292-sqft unit",-2.2%,"S$ 356 psf in Jun 1999 for a 1,292-sqft unit","Singaporean 95.7%, PR 4.3%, Foreigner 0.0%, Company 0.0%","HDB 47.8%, Private 52.2%",S$ 983 - S$ 983 psf / S$ 983 psf,S$ 3.3 - S$ 3.7 psf pm / S$ 3.5 psf pm,4.2%,,,,,,le-arc,6 LORONG 26 GEYLANG LE ARC SINGAPORE 398481,398481,1.31259777837018,103.884583890504,6,LORONG 26 GEYLANG,LE ARC,ALJUNIED MRT STATION,466.6084922047476,Exit A
SEASIDE PARK,seaside-park,https://www.edgeprop.sg/condo-apartment/seaside-park,https://www.edgeprop.sg/condo-apartment/seaside-park,370,,,SEASIDE PARK,Jalan Keris,"457408, 457409, 457410, 457411, 457412, 457413, 457414, 457415, 457416, 457417, 457418, 457419, 457420, 457421, 457422, 457423, 457424, 457425, 457426, 457427, 457438, 457439, 457440, 457441, 457442, 457443, 457444, 457445, 457446, 457447, 457448, 457449, 457450, 457451, 457452, 457453, 457454, 457465, 457466, 457467, 457468, 457469, 457470, 457471, 457472, 457473, 457474, 457475, 457476, 457477, 457478, 457479, 457480, 457535, 457537, 457539, 457541, 457543, 457545, 457547, 457549, 457551, 457553, 457555, 457557, 457559, 457560, 457561, 457562, 457563, 457564, 457565, 457566, 457567, 457568, 457569, 457570, 457571, 457572, 457573, 457574, 457575, 457576, 457577, 457578, 457579, 457580, 457628, 457629, 457630, 457631, 457632, 457633, 457634, 457635, 457636, 457637, 457638, 457639, 457640, 457641, 457642, 457643, 457654, 457655, 457656, 457657, 457658, 457659, 457660, 457661, 457662, 457663, 457664, 457665, 457666, 457667, 457668, 457669, 457670, 457671, 457672, 457673, 457674, 457675, 457676, 457677, 457678, 457679, 457680, 457681, 457682, 457683, 457684, 457685, 457686, 457687, 457688, 457689, 457690, 457691, 457692, 457693, 457694, 457695, 457696, 457697, 457698, 457699, 457700, 457701, 457702, 457703, 457704, 457705, 457706, 457707, 457708, 457709, 457710, 457711, 457712, 457713, 457714, 457715, 457716, 457717, 457718, 457719, 457720, 457721, 457722, 457723, 457724, 457725, 457726, 457727, 457728, 457729, 457730, 457731, 457849, 457850, 457851, 457852, 457853, 457854, 457855, 457856, 457857, 457858, 458920, 458921, 458924, 458925, 458926, 458928, 458929, 458972, 458973, 458974, 458975, 458976, 458977, 458978, 458979, 458980, 458981, 458982, 458983, 458984, 458985, 458986, 458987, 458988, 458989, 458990, 458991, 458992, 458993, 458994",Apartment,999 Yrs From 01/01/1965,D15 / Bedok,2000,Unknown,"S$ 1,520 psf in Apr 2023 for a 592-sqft unit",0.0%,S$ 453 psf in May 2007 for a 861-sqft unit,"Singaporean 92.9%, PR 7.1%, Foreigner 0.0%, Company 0.0%","HDB 40.0%, Private 60.0%","S$ 1,520 - S$ 1,520 psf / S$ 1,520 psf",S$ 4.1 - S$ 5.8 psf pm / S$ 4.9 psf pm,3.9%,,25.0,,,,seaside-park,41 JALAN KERIS SEASIDE PARK SINGAPORE 457574,457574,1.31049833803656,103.919947683646,41,JALAN KERIS,SEASIDE PARK,KEMBANGAN MRT STATION,1396.619118446877,Exit A
CRYSTAL DE AZURE,crystal-de-azure,https://www.edgeprop.sg/condo-apartment/crystal-de-azure,https://www.edgeprop.sg/condo-apartment/crystal-de-azure,934,"1,308",1.4,CRYSTAL DE AZURE,How Sun Close,538645,Apartment,Freehold,D19 / Serangoon,2006,12 units,"S$ 1,062 psf in Mar 2021 for a 1,130-sqft unit",0.0%,"S$ 564 psf in Jan 2007 for a 1,313-sqft unit","Singaporean 94.4%, PR 5.6%, Foreigner 0.0%, Company 0.0%","HDB 38.9%, Private 61.1%","S$ 1,062 - S$ 1,062 psf / S$ 1,062 psf",S$ 3.5 - S$ 3.6 psf pm / S$ 3.5 psf pm,4.0%,HO LIEW LENG EDWIN AND HO SOO TONG,19.0,,,,crystal-de-azure,18 HOW SUN CLOSE CRYSTAL DE AZURE SINGAPORE 538645,538645,1.34351875675561,103.881905451986,18,HOW SUN CLOSE,CRYSTAL DE AZURE,BARTLEY MRT STATION,231.447602936942,Exit A
LEIGHWOODS,leighwoods,https://www.edgeprop.sg/condo-apartment/leighwoods,https://www.edgeprop.sg/condo-apartment/leighwoods,"2,797","5,875",2.1,LEIGHWOODS,Mount Sinai Rise,276956,Condominium,Freehold,D10 / Bukit Timah,1985,23 units,"S$ 1,705 psf in Nov 2022 for a 2,217-sqft unit",-4.8%,"S$ 437 psf in Dec 1998 for a 2,217-sqft unit","Singaporean 58.3%, PR 25.0%, Foreigner 4.2%, Company 8.3%","HDB 0.0%, Private 100.0%","S$ 1,624 - S$ 1,624 psf / S$ 1,624 psf",S$ 3.1 - S$ 3.1 psf pm / S$ 3.1 psf pm,2.3%,,,,,,leighwoods,37 MOUNT SINAI RISE LEIGHWOODS SINGAPORE 276956,276956,1.31503287559433,103.777257042068,37,MOUNT SINAI RISE,LEIGHWOODS,DOVER MRT STATION,394.880289927596,Exit B
THE INTERLACE,the-interlace,https://www.edgeprop.sg/condo-apartment/the-interlace,https://www.edgeprop.sg/condo-apartment/the-interlace,"80,762","169,637",2.1,THE INTERLACE,Depot Road,"109684, 109685, 109686, 109687, 109688, 109689, 109690, 109691, 109692, 109693, 109694, 109695, 109696, 109697, 109698, 109699, 109700, 109701, 109702, 109703, 109704, 109705, 109706, 109707",Condominium,99 Yrs From 11/02/2009,D4 / Bukit Merah,2013,"1,040 units","S$ 1,895 psf in Dec 2024 for a 807-sqft unit",-15.1%,"S$ 618 psf in Jun 2010 for a 4,435-sqft unit","Singaporean 63.4%, PR 23.2%, Foreigner 12.0%, Company 1.4%","HDB 24.8%, Private 75.2%","S$ 948 - S$ 1,895 psf / S$ 1,608 psf",S$ 3.4 - S$ 6.4 psf pm / S$ 4.8 psf pm,3.6%,ANKERITE PTE LTD,12.0,RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,WOH HUP (PRIVATE) LIMITED,,the-interlace,200 DEPOT ROAD THE INTERLACE SINGAPORE 109694,109694,1.28221769648724,103.803662042285,200,DEPOT ROAD,THE INTERLACE,LABRADOR PARK MRT STATION,1133.6053980378233,Exit A
THE GRANDIFLORA,the-grandiflora,https://www.edgeprop.sg/condo-apartment/the-grandiflora,https://www.edgeprop.sg/condo-apartment/the-grandiflora,"1,349","1,888",1.4,THE GRANDIFLORA,Lorong L Telok Kurau,425554,Apartment,Freehold,D15 / Bedok,2004,18 units,"S$ 1,082 psf in Dec 2014 for a 1,033-sqft unit",-6.1%,"S$ 444 psf in May 2005 for a 1,690-sqft unit","Singaporean 77.4%, PR 12.9%, Foreigner 6.5%, Company 3.2%","HDB 25.8%, Private 74.2%","S$ 1,016 - S$ 1,016 psf / S$ 1,016 psf",S$ 2.7 - S$ 2.7 psf pm / S$ 2.7 psf pm,3.2%,FRAGRANCE PROPERTIES PTE LTD,21.0,,,,the-grandiflora,121 LORONG L TELOK KURAU THE GRANDIFLORA SINGAPORE 425554,425554,1.31271535895398,103.913784894594,121,LORONG L TELOK KURAU,THE GRANDIFLORA,KEMBANGAN MRT STATION,917.5400847933314,Exit A
THE SUNSHINE,the-sunshine,https://www.edgeprop.sg/condo-apartment/the-sunshine,https://www.edgeprop.sg/condo-apartment/the-sunshine,"1,950","5,439",2.8,THE SUNSHINE,SUNSHINE TERRACE,535689,Apartment,Freehold,D19 / Serangoon,2003,45 units,"S$ 1,589 psf in Feb 2025 for a 1,227-sqft unit",0.0%,"S$ 388 psf in Oct 2003 for a 1,367-sqft unit","Singaporean 86.7%, PR 8.9%, Foreigner 4.4%, Company 0.0%","HDB 60.2%, Private 39.8%","S$ 1,589 - S$ 1,589 psf / S$ 1,589 psf",S$ 2.8 - S$ 4.2 psf pm / S$ 3.6 psf pm,2.7%,UNITED OVERSEAS LAND LIMITED,22.0,,,,the-sunshine,1 SUNSHINE TERRACE THE SUNSHINE SINGAPORE 535689,535689,1.3462198480104,103.871951011761,1,SUNSHINE TERRACE,THE SUNSHINE,SERANGOON MRT STATION,425.78942632594334,Exit A
RIVAGE,rivage,https://www.edgeprop.sg/condo-apartment/rivage,https://www.edgeprop.sg/condo-apartment/rivage,"1,157","2,431",2.1,RIVAGE,Margate Road,438044,Apartment,Freehold,D15 / Marine Parade,2009,17 units,"S$ 1,814 psf in Oct 2023 for a 1,819-sqft unit",0.0%,"S$ 886 psf in Mar 2009 for a 1,098-sqft unit","Singaporean 92.3%, PR 7.7%, Foreigner 0.0%, Company 0.0%","HDB 15.4%, Private 84.6%","S$ 1,814 - S$ 1,814 psf / S$ 1,814 psf",S$ 3.9 - S$ 4.6 psf pm / S$ 4.3 psf pm,2.8%,AURUM LAND PTE LTD,16.0,,,,rivage,4 MARGATE ROAD RIVAGE SINGAPORE 438044,438044,1.29959462338254,103.88872582337,4,MARGATE ROAD,RIVAGE,MOUNTBATTEN MRT STATION,940.942566416248,Exit B
KINGSFORD . HILLVIEW PEAK,kingsford-hillview-peak,https://www.edgeprop.sg/condo-apartment/kingsford-hillview-peak,https://www.edgeprop.sg/condo-apartment/kingsford-hillview-peak,"12,713","35,597",2.8,KINGSFORD HILLVIEW PEAK,Hillview Rise,"667968, 667981, 667982",Condominium,99 Yrs From 04/06/2012,D23 / Bukit Batok,2017,512 units,"S$ 1,574 psf in Jun 2025 for a 775-sqft unit",-11.1%,"S$ 828 psf in Nov 2016 for a 2,099-sqft unit",-,"HDB 52.8%, Private 47.2%","S$ 948 - S$ 1,574 psf / S$ 1,400 psf",S$ 5.1 - S$ 5.1 psf pm / S$ 5.1 psf pm,4.3%,KINGSFORD DEVELOPMENT PTE LTD,8.0,,,,kingsford-hillview-peak,101 HILLVIEW RISE KINGSFORD . HILLVIEW PEAK SINGAPORE 667981,667981,1.36478651146586,103.764763618001,101,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,HILLVIEW MRT STATION,397.7749154677164,Exit B
PARC REGENCY,parc-regency,https://www.edgeprop.sg/condo-apartment/parc-regency,https://www.edgeprop.sg/condo-apartment/parc-regency,"1,583","2,216",1.4,PARC REGENCY,Pasir Panjang Road,118652,Apartment,Freehold,D5 / Queenstown,2002,20 units,"S$ 1,051 psf in May 2018 for a 1,356-sqft unit",-4.0%,"S$ 501 psf in Nov 2006 for a 1,658-sqft unit","Singaporean 87.9%, PR 9.1%, Foreigner 3.0%, Company 0.0%","HDB 54.5%, Private 45.5%","S$ 1,009 - S$ 1,009 psf / S$ 1,009 psf",S$ 3.4 - S$ 3.4 psf pm / S$ 3.4 psf pm,4.0%,WAH KHIAW DEVELOPMENTS PTE LTD,23.0,,,,parc-regency,315 PASIR PANJANG ROAD PARC REGENCY SINGAPORE 118652,118652,1.28813624894878,103.778115825202,315,PASIR PANJANG ROAD,PARC REGENCY,HAW PAR VILLA MRT STATION,711.5193078193187,Exit A
URBAN SUITES,urban-suites,https://www.edgeprop.sg/condo-apartment/urban-suites,https://www.edgeprop.sg/condo-apartment/urban-suites,"8,665","24,261",2.8,URBAN SUITES,Hullet Road,"229157, 229158, 229161",Condominium,Freehold,D9 / Newton,2013,165 units,"S$ 3,305 psf in Jul 2022 for a 1,604-sqft unit",-15.7%,"S$ 1,697 psf in Mar 2021 for a 4,715-sqft unit","Singaporean 33.0%, PR 17.2%, Foreigner 42.6%, Company 7.2%","HDB 4.8%, Private 95.2%","S$ 2,787 - S$ 2,787 psf / S$ 2,787 psf",S$ 5.5 - S$ 7.7 psf pm / S$ 6.4 psf pm,2.7%,AUGITE PTE LTD,12.0,KERRY HILL ARCHITECTS PTE LTD,SHIMIZU CORPORATION,,urban-suites,5 HULLET ROAD URBAN SUITES SINGAPORE 229161,229161,1.30422070655432,103.838389476201,5,HULLET ROAD,URBAN SUITES,SOMERSET MRT STATION,384.1658752160021,Exit B
